name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature
Sorry,Justin Bieber,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,audio_features,,09CtPGIpYB4BrO8qb1RGsF,spotify:track:09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,200787,4
I Don't Wanna Be Your Friend,Mark Mendy,0.751,0.873,7,-4.057,1,0.0725,0.117,1.44e-06,0.175,0.52,102.054,audio_features,,1PqZKNikSRknHiIsuw0wDn,spotify:track:1PqZKNikSRknHiIsuw0wDn,https://api.spotify.com/v1/tracks/1PqZKNikSRknHiIsuw0wDn,https://api.spotify.com/v1/audio-analysis/1PqZKNikSRknHiIsuw0wDn,162353,4
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,audio_features,,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
Closer,The Chainsmokers,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,audio_features,,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4
Eastside (with Halsey & Khalid),benny blanco,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,audio_features,,0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,173800,4
"thank u, next",Ariana Grande,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,audio_features,,2rPE9A1vEgShuZxxzR2tZH,spotify:track:2rPE9A1vEgShuZxxzR2tZH,https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH,https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH,207333,4
good love,Genelle,0.56,0.429,6,-6.195,0,0.0406,0.127,0,0.108,0.284,100.973,audio_features,,6F6NUU9LEo1QBIzI9Ey9UQ,spotify:track:6F6NUU9LEo1QBIzI9Ey9UQ,https://api.spotify.com/v1/tracks/6F6NUU9LEo1QBIzI9Ey9UQ,https://api.spotify.com/v1/audio-analysis/6F6NUU9LEo1QBIzI9Ey9UQ,128354,4
Let Me Love You,Mario,0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,audio_features,,3ibKnFDaa3GhpPGlOUj7ff,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,https://api.spotify.com/v1/tracks/3ibKnFDaa3GhpPGlOUj7ff,https://api.spotify.com/v1/audio-analysis/3ibKnFDaa3GhpPGlOUj7ff,256733,4
Finesse - Remix; feat. Cardi B,Bruno Mars,0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,audio_features,,3Vo4wInECJQuz9BIBMOu8i,spotify:track:3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,217289,4
Can't Feel My Face,The Weeknd,0.705,0.769,9,-5.526,0,0.0425,0.113,0,0.105,0.583,107.949,audio_features,,22VdIZQfgXJea34mQxlt81,spotify:track:22VdIZQfgXJea34mQxlt81,https://api.spotify.com/v1/tracks/22VdIZQfgXJea34mQxlt81,https://api.spotify.com/v1/audio-analysis/22VdIZQfgXJea34mQxlt81,213520,4
